Maths,Physics,Chemistry,Result
17,27,22,0
72,82,77,1
97,18,13,0
8,42,37,0
32,25,20,0
15,73,68,0
63,67,62,1
97,70,65,1
57,93,88,1
60,58,53,1
83,36,31,0
48,22,17,0
100,72,67,1
26,13,8,0
12,59,54,0
62,65,60,1
3,87,82,0
49,10,5,0
55,67,94,1
77,44,62,1
97,39,39,0
98,85,97,1
0,23,34,0
89,50,80,1
57,13,18,0
34,12,45,0
92,13,8,0
29,93,7,0
75,79,8,0
13,11,88,0
40,58,74,1
3,37,6,0
2,64,53,0
3,13,92,0
83,77,32,0
69,38,59,0
1,66,97,0
48,73,8,0
87,80,72,1
27,39,33,0
54,54,61,1
92,39,68,0
3,38,75,0
67,68,34,0
28,47,49,0
97,12,34,0
56,63,91,1
63,81,33,0
70,92,63,1
29,22,42,0
44,33,7,0
29,90,58,0
86,47,76,1
28,25,87,0
97,52,17,0
58,74,28,0
37,64,85,0
2,74,97,0
53,95,42,1
71,34,20,0
82,48,47,1
12,46,97,0
23,85,96,0
80,73,69,1
92,74,59,1
37,60,69,0
15,85,90,0
95,14,29,0
42,71,43,1
92,41,41,1
91,61,80,1
64,63,68,1
54,95,69,1
64,32,55,0
85,56,80,1
24,80,9,0
38,57,66,0
36,21,36,0
75,66,56,1
63,94,58,1
64,75,90,1
50,23,27,0
75,30,51,0
4,76,75,0
61,60,94,1
31,57,91,0
95,72,99,1
51,13,52,0
53,70,16,0
85,15,61,0
22,49,89,0
46,88,70,1
70,85,18,0
89,84,25,0
99,60,71,1
86,92,55,1
94,31,52,0
47,31,67,0
11,74,98,0
56,39,8,0
84,11,65,0
65,35,10,0
13,79,44,0
99,80,95,1
20,39,83,0
66,61,80,1
50,75,79,1
47,54,55,1
62,83,87,1
93,55,26,0
3,68,26,0
60,44,69,1
5,94,34,0
39,80,6,0
90,87,30,0
78,10,74,0
75,59,75,1
74,75,34,0
50,26,56,0
82,76,70,1
21,81,49,0
21,36,78,0
64,64,50,1
29,17,63,0
1,71,39,0
98,56,89,1
25,82,75,0
69,80,82,1
70,35,98,0
29,74,5,0
51,62,54,1
65,72,99,1
44,55,70,1
73,63,21,0
45,54,71,1
58,10,76,0
34,78,31,0
84,79,59,1
70,89,12,0
77,88,66,1
93,52,51,1
0,68,77,0
49,86,75,1
100,13,30,0
94,39,69,0
65,91,57,1
16,32,67,0
66,80,50,1
99,84,58,1
71,33,49,0
26,21,5,0
54,80,73,1
7,42,74,0
61,14,84,0
46,19,83,0
72,20,47,0
70,12,63,0
25,67,81,0
64,11,8,0
52,45,34,0
62,41,86,1
45,44,27,0
53,24,75,0
44,89,79,1
0,33,28,0
68,54,16,0
69,47,75,1
79,18,37,0
100,31,9,0
78,30,91,0
42,42,14,0
58,77,15,0
76,31,7,0
3,94,62,0
29,44,6,0
81,92,40,1
22,47,36,0
70,68,39,0
74,51,19,0
23,73,84,0
11,70,28,0
70,24,49,0
32,13,42,0
4,49,13,0
86,59,26,0
9,53,25,0
10,63,37,0
2,34,72,0
57,43,26,0
1,23,89,0
96,42,39,0
96,75,87,1
35,36,96,0
31,87,42,0
34,65,63,0
14,12,94,0
79,38,46,0
23,12,68,0
44,60,65,1
37,28,19,0
8,14,8,0
21,30,44,0
20,67,54,0
32,74,48,0
67,64,58,1
21,79,29,0
84,38,38,0
34,90,18,0
82,76,37,0
91,67,98,1
37,38,70,0
58,77,31,0
89,93,82,1
41,13,60,0
63,60,7,0
60,83,33,0
14,51,7,0
3,94,55,0
39,90,23,0
49,64,9,0
43,17,97,0
53,48,25,0
24,26,62,0
33,37,95,0
13,16,69,0
32,49,91,0
93,19,59,0
65,19,74,0
26,49,33,0
77,48,85,1
55,30,93,0
2,63,71,0
28,82,62,0
2,42,33,0
50,26,72,0
18,11,88,0
4,81,8,0
92,14,55,0
20,85,91,0
57,37,78,0
90,82,46,1
64,68,89,1
86,31,85,0
54,89,59,1
69,75,12,0
28,14,99,0
80,58,43,1
88,35,21,0
66,54,32,0
57,22,11,0
28,36,44,0
67,83,14,0
83,65,14,0
3,85,44,0
50,34,43,0
86,73,25,0
73,23,58,0
41,95,77,1
84,59,37,0
80,47,21,0
54,74,6,0
7,73,76,0
94,12,9,0
38,51,80,0
16,88,32,0
27,61,77,0
6,46,63,0
39,12,26,0
9,30,95,0
9,35,84,0
39,51,70,0
38,82,9,0
95,27,53,0
20,53,30,0
53,64,49,1
72,37,17,0
32,44,31,0
16,22,78,0
1,58,91,0
71,80,60,1
4,54,80,0
75,78,29,0
27,72,68,0
72,78,18,0
58,40,90,1
21,18,54,0
99,15,42,0
90,20,69,0
79,27,68,0
65,31,7,0
4,31,46,0
48,78,83,1
25,37,56,0
44,44,41,1
12,52,7,0
26,86,25,0
73,74,30,0
86,42,46,1
55,57,77,1
75,53,22,0
24,53,48,0
63,24,59,0
13,47,32,0
85,40,39,0
49,87,91,1
37,72,17,0
64,27,53,0
63,84,75,1
2,80,49,0
41,23,92,0
78,51,73,1
51,15,67,0
36,62,73,0
2,19,35,0
20,58,13,0
25,28,97,0
41,26,10,0
72,53,15,0
100,24,22,0
17,88,26,0
43,85,26,0
54,58,73,1
27,19,32,0
34,83,39,0
86,80,47,1
12,38,81,0
48,82,69,1
70,20,37,0
44,44,52,1
87,56,48,1
68,47,48,1
62,82,19,0
98,78,42,1
68,24,35,0
30,68,82,0
8,45,96,0
92,23,67,0
5,15,22,0
10,47,79,0
17,11,75,0
21,88,18,0
21,95,46,0
68,11,10,0
27,21,57,0
34,62,14,0
97,24,53,0
42,15,23,0
76,34,21,0
64,40,48,1
32,85,19,0
47,63,83,1
43,30,80,0
43,24,53,0
14,67,14,0
37,31,78,0
30,40,75,0
77,30,33,0
