Loan_ID,Gender,Married,Dependents,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status
1,1,0,0,0,5849,0,0,360,2,1
2,1,1,1,0,4583,1508,128,360,1,0
3,1,1,0,1,3000,0,66,360,2,1
4,1,1,0,0,2583,2358,120,360,2,1
5,1,0,0,0,6000,0,141,360,2,1
6,1,1,2,1,5417,4196,267,360,2,1
9,1,1,2,0,4006,1526,168,360,2,1
10,1,1,1,0,12841,10968,349,360,0,0
11,1,1,2,0,3200,700,70,360,2,1
12,1,1,2,1,2500,1840,109,360,2,1
14,1,0,0,0,1853,2840,114,360,1,0
15,1,1,2,0,1299,1086,17,120,2,1
16,1,0,0,0,4950,0,125,360,2,1
17,1,0,1,0,3596,0,100,240,2,1
18,0,0,0,0,3510,0,76,360,2,0
19,1,1,0,0,4887,0,133,360,1,0
21,1,1,0,0,7660,0,104,360,2,0
23,1,1,0,0,2600,1911,116,360,0,0
24,1,1,2,0,3365,1917,112,360,1,0
25,1,1,1,1,3717,2925,151,360,0,0
27,1,1,0,0,2799,2253,122,360,0,1
28,1,1,2,0,4226,1040,110,360,2,1
31,1,1,1,1,4166,3369,201,360,2,0
32,1,0,0,0,3167,0,74,360,2,0
33,1,0,1,1,4692,0,106,360,1,0
34,1,1,0,0,3500,1667,114,360,0,1
35,1,0,3,0,12500,3000,320,360,1,0
37,1,1,0,0,1828,1330,100,0,2,0
38,0,1,0,0,3667,1459,144,360,0,1
39,1,0,0,0,4166,7210,184,360,2,1
41,1,0,0,0,3600,0,80,360,2,0
43,1,1,0,0,2400,0,75,360,2,1
44,1,1,0,0,3941,2336,134,360,0,1
45,1,1,0,1,4695,0,96,0,2,1
46,0,0,0,0,3410,0,88,0,2,1
48,1,1,0,0,5821,0,144,360,2,1
49,0,1,0,0,2645,3440,120,360,2,0
52,0,0,0,0,3086,0,120,360,0,1
53,0,0,0,0,4230,0,112,360,0,0
56,1,1,2,0,2708,1167,97,360,0,1
57,1,1,0,0,2132,1591,96,360,0,1
58,1,1,0,0,3366,2200,135,360,1,0
59,1,1,1,0,8080,2250,180,360,2,1
60,1,1,2,0,3357,2859,144,360,2,1
62,1,1,3,0,3029,0,99,360,2,1
63,1,1,0,1,2609,3449,165,180,1,0
68,1,1,1,0,10750,0,312,360,2,1
69,1,1,3,1,7100,0,125,60,2,1
71,1,1,0,0,3208,3066,172,360,2,1
72,1,1,2,1,1875,1875,97,360,0,1
73,1,0,0,0,3500,0,81,300,0,1
74,1,1,3,0,4755,0,95,0,0,0
75,1,1,3,1,5266,1774,187,360,0,1
78,1,1,1,1,1000,3022,110,360,2,0
79,1,1,3,0,3167,4000,180,300,0,0
80,1,1,3,1,3333,2166,130,360,0,1
81,0,0,0,0,3846,0,111,360,0,1
82,1,1,1,1,2395,0,0,360,0,1
83,0,1,2,0,1378,1881,167,360,2,0
84,1,1,0,0,6000,2250,265,360,0,0
85,1,1,1,0,3988,0,50,240,2,1
86,1,0,0,0,2366,2531,136,360,0,1
89,1,0,0,0,8566,0,210,360,2,1
90,1,1,0,0,5695,4167,175,360,0,1
91,1,1,0,0,2958,2900,131,360,0,1
92,1,1,2,0,6250,5654,188,180,0,1
95,1,0,0,0,3620,0,25,120,0,1
96,1,0,0,1,6782,0,0,360,2,0
97,0,1,0,0,2484,2302,137,360,0,1
98,1,1,0,0,1977,997,50,360,0,1
99,1,1,0,0,4188,0,115,180,0,1
101,1,1,2,0,4288,3263,133,180,2,1
102,1,0,0,0,4843,3806,151,360,0,1
105,1,1,3,0,3816,754,160,360,2,1
106,1,1,1,0,3052,1030,100,360,2,1
108,1,0,0,1,7333,0,120,360,1,0
109,1,1,2,0,3800,3600,216,360,2,0
110,1,1,3,0,2071,754,94,480,0,1
111,1,0,0,0,5316,0,136,360,2,1
113,1,1,0,0,3572,4114,152,0,1,0
114,0,0,1,1,7451,0,0,360,0,1
115,1,0,0,1,5050,0,118,360,0,1
116,1,1,1,0,14583,0,185,180,1,1
118,1,1,1,0,2214,1398,85,360,2,1
119,1,1,0,0,5568,2142,175,360,1,0
120,0,0,0,0,10408,0,259,360,2,1
121,1,1,3,0,5667,2667,180,360,1,1
122,0,0,0,0,4166,0,44,360,0,1
123,0,0,0,0,2137,8980,137,360,0,1
125,1,1,0,0,4300,2014,194,360,1,1
126,0,0,0,0,3692,0,93,360,1,1
127,1,1,3,0,23803,0,370,360,1,1
128,1,0,0,0,3865,1640,0,360,1,1
133,1,0,0,0,2718,0,70,360,0,1
134,1,1,0,1,3459,0,25,120,0,1
135,1,0,0,0,4895,0,102,360,0,1
137,0,1,0,0,4583,0,84,360,1,0
138,1,1,2,1,3316,3500,88,360,2,1
139,1,0,0,0,14999,0,242,360,0,0
141,1,1,2,0,5042,2083,185,360,1,0
142,1,0,0,0,5417,0,168,360,2,1
143,1,0,0,1,6950,0,175,180,0,1
145,1,1,2,0,11757,0,187,180,2,1
146,0,1,0,0,2330,4486,100,360,0,1
147,0,1,2,0,14866,0,70,360,2,1
148,1,1,1,0,1538,1425,30,360,2,1
149,0,0,0,0,10000,1666,225,360,1,0
150,1,1,0,0,4860,830,125,360,0,1
152,1,1,0,1,2577,3750,152,360,1,1
153,1,0,0,0,9166,0,244,360,2,0
154,1,1,2,0,2281,0,113,360,1,0
156,1,1,3,0,39999,0,600,180,0,1
157,1,1,1,0,6000,0,160,360,1,1
158,1,1,1,0,9538,0,187,360,2,1
159,1,0,0,1,2980,2083,120,360,1,1
160,1,1,0,0,4583,5625,255,360,0,1
161,1,1,0,0,1863,1041,98,360,0,1
162,1,1,0,0,7933,0,275,360,2,0
164,1,1,2,0,4167,1447,158,360,1,1
165,1,1,0,0,9323,0,75,180,2,1
167,0,1,0,0,4583,0,112,360,1,0
169,1,0,0,0,2237,0,63,480,0,0
171,1,1,0,1,1820,1769,95,360,1,1
172,1,1,3,0,51763,0,700,300,2,1
173,1,1,3,0,3522,0,81,180,1,0
174,1,1,0,0,5708,5625,187,360,0,1
176,1,1,0,0,3497,1964,116,360,1,1
177,1,1,2,0,2045,1619,101,360,1,1
178,1,1,3,0,5516,11300,495,360,0,0
179,1,1,1,0,3750,0,116,360,0,1
180,1,0,0,0,2333,1451,102,480,2,0
181,1,1,1,0,6400,7250,180,360,2,0
182,1,0,0,0,1916,5063,67,360,1,0
183,1,1,0,0,4600,0,73,180,0,1
185,0,1,0,0,3625,0,108,360,0,1
186,1,1,0,1,39147,4750,120,360,0,1
187,1,1,1,1,2178,0,66,300,1,0
189,1,1,0,1,674,5296,168,360,1,1
190,1,1,0,0,9328,0,188,180,1,1
191,1,0,0,0,4885,0,48,360,1,1
192,1,0,0,0,12000,0,164,360,0,0
193,1,1,0,0,6033,0,160,360,2,0
195,1,0,0,0,4191,0,120,360,1,1
196,1,1,1,0,3125,2583,170,360,0,0
197,1,0,0,0,8333,3750,187,360,1,1
198,0,0,0,0,1907,2365,120,0,2,1
199,0,1,0,0,3416,2816,113,360,0,1
201,1,1,1,0,2600,2500,90,360,0,1
202,1,0,2,0,4923,0,166,360,0,1
203,1,1,3,0,3992,0,0,180,2,0
204,1,1,1,0,3500,1083,135,360,2,1
205,1,1,2,0,3917,0,124,360,0,1
207,0,0,0,0,3244,0,80,360,2,1
208,1,0,0,0,3975,2531,55,360,1,1
209,1,0,0,0,2479,0,59,360,2,1
210,1,0,0,0,3418,0,127,360,0,0
211,0,0,0,0,10000,0,214,360,0,0
214,1,1,3,1,5703,0,130,360,1,1
215,1,1,0,0,3173,3021,137,360,2,1
216,1,1,3,0,3850,983,100,360,0,1
217,1,1,0,0,150,1800,135,360,1,0
218,1,1,0,0,3727,1775,131,360,0,1
